City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Nouakchott,MR,2022-04-06 23:04:31,18.0858,-15.9785,73.33,62,5,16.31
149,Charlottesville,US,2022-04-06 23:02:56,38.0293,-78.4767,69.49,61,0,8.05
150,Foumbot,CM,2022-04-06 23:04:31,5.5079,10.6356,69.6,80,99,2.19
151,Carnarvon,AU,2022-04-06 23:04:32,-24.8667,113.6333,79.41,75,5,7.56
152,Ossora,RU,2022-04-06 23:04:32,59.2353,163.0719,19.67,89,99,1.97
153,Depalpur,IN,2022-04-06 23:04:32,22.85,75.55,79.66,19,3,7.27
154,Korla,CN,2022-04-06 23:04:33,41.7597,86.1469,58.19,27,0,4.76
155,Bredasdorp,ZA,2022-04-06 23:04:33,-34.5322,20.0403,57.49,63,96,8.93
156,Westport,US,2022-04-06 23:00:06,41.1415,-73.3579,51.15,89,100,10.0
157,Steamboat Springs,US,2022-04-06 23:02:40,40.485,-106.8317,38.79,30,100,9.22
158,Tuktoyaktuk,CA,2022-04-06 23:02:44,69.4541,-133.0374,20.64,86,100,9.86
159,Musoma,TZ,2022-04-06 23:04:34,-1.5,33.8,67.15,77,69,8.79
160,Chokurdakh,RU,2022-04-06 23:04:34,70.6333,147.9167,-10.64,91,11,3.04
161,Ouallam,NE,2022-04-06 23:04:34,14.3188,2.0866,93.87,15,84,8.66
162,Araouane,ML,2022-04-06 23:04:35,18.9048,-3.5265,86.67,14,7,19.24
163,Bandarbeyla,SO,2022-04-06 23:04:35,9.4942,50.8122,78.17,76,6,6.67
164,Aklavik,CA,2022-04-06 23:04:35,68.2191,-135.0107,28.92,85,29,11.59
165,Torbay,CA,2022-04-06 23:04:36,47.6666,-52.7314,38.28,89,100,19.57
166,Labuhan,ID,2022-04-06 23:04:36,-6.8844,112.2051,76.8,87,64,12.06
167,Severo-Kurilsk,RU,2022-04-06 23:04:36,50.6789,156.125,35.11,91,99,14.47
168,Tocopilla,CL,2022-04-06 23:00:16,-22.092,-70.1979,68.02,78,77,8.08
169,Udon Thani,TH,2022-04-06 23:04:37,17.3333,102.8333,74.82,54,79,3.4
170,Grand Gaube,MU,2022-04-06 23:04:37,-20.0064,57.6608,74.37,86,57,1.01
171,Balkanabat,TM,2022-04-06 23:04:37,39.5108,54.3671,64.94,40,38,4.9
172,La Grande,US,2022-04-06 23:04:38,45.3246,-118.0877,58.01,24,16,5.28
173,Coihueco,CL,2022-04-06 23:04:38,-36.6167,-71.8333,66.94,42,0,5.75
174,Stromness,GB,2022-04-06 23:04:28,58.965,-3.296,35.56,88,100,28.99
175,Sur,OM,2022-04-06 23:03:07,22.5667,59.5289,83.59,46,0,8.93
