City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Guane,CU,22.2025,-84.0875,86.18,29,11,8.77,few clouds
214,Pishin,PK,30.5803,66.9961,74.93,10,1,4.65,clear sky
215,Vao,NC,-22.6667,167.4833,77.41,84,89,20.96,overcast clouds
216,Altay,CN,47.8667,88.1167,33.04,47,34,8.19,scattered clouds
217,Pemangkat,ID,1.1667,108.9667,79.3,76,73,3.18,broken clouds
218,Faanui,PF,-16.4833,-151.75,81.66,75,27,16.11,light rain
219,Bengkulu,ID,-3.8004,102.2655,75.11,91,92,3.18,overcast clouds
220,Buala,SB,-8.145,159.5921,79.12,81,21,2.35,few clouds
221,Chincholi,IN,17.4667,77.4333,93.18,27,100,10.51,overcast clouds
222,Hay River,CA,60.8156,-115.7999,15.78,73,100,21.85,light snow
223,Bom Jesus Da Lapa,BR,-13.255,-43.4181,101.39,18,12,4.47,few clouds
224,Saint-Pierre,RE,-21.3393,55.4781,78.48,84,75,20.71,broken clouds
225,Albina,SR,5.5,-54.05,83.55,69,99,7.56,overcast clouds
226,Aloleng,PH,16.1307,119.7824,80.73,77,92,3.76,overcast clouds
227,Redlands,US,34.0556,-117.1825,79.2,55,75,0.0,haze
228,Fort-Shevchenko,KZ,44.5086,50.263,55.22,65,0,8.43,clear sky
229,Baringo,KE,0.4667,35.9667,80.37,41,69,15.79,broken clouds
230,Kloulklubed,PW,7.0419,134.2556,79.3,84,100,25.48,overcast clouds
231,Klos,AL,41.5072,20.0851,45.55,98,100,5.17,overcast clouds
232,Raga,SS,8.4596,25.678,83.08,41,76,4.29,broken clouds
233,Broome,US,42.2506,-75.833,40.46,70,100,14.97,overcast clouds
234,Brae,GB,60.3964,-1.353,38.35,57,99,9.04,overcast clouds
235,Aksarka,RU,66.5606,67.7975,33.71,99,100,11.36,overcast clouds
236,Araouane,ML,18.9048,-3.5265,94.15,5,0,9.24,clear sky
237,Dudinka,RU,69.4058,86.1778,-16.53,100,93,4.23,overcast clouds
238,Seoul,KR,37.5683,126.9778,54.97,74,40,1.14,scattered clouds
239,Margate,GB,51.3813,1.3862,51.31,58,97,1.99,overcast clouds
240,Belyy Yar,RU,53.6039,91.3903,31.89,82,0,6.71,clear sky
241,Marsh Harbour,BS,26.5412,-77.0636,68.68,55,3,14.76,clear sky
242,Pangody,RU,65.85,74.4859,32.38,99,100,10.83,light snow
243,Tessalit,ML,20.1986,1.0114,92.61,5,0,9.13,clear sky
244,Ambulu,ID,-8.345,113.6058,74.84,90,9,3.31,clear sky
245,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,11.5,broken clouds
246,Labuhan,ID,-6.8844,112.2051,78.33,84,84,5.57,broken clouds
247,Yeppoon,AU,-23.1333,150.7333,71.38,86,87,14.65,overcast clouds
248,Kamenka,RU,51.3223,42.7678,56.28,70,100,9.46,overcast clouds
249,Kant,IN,27.8,79.8,87.82,8,1,3.87,clear sky
250,Hami,CN,42.8,93.45,53.13,15,90,17.69,overcast clouds
251,Trelew,AR,-43.249,-65.3051,62.83,46,2,23.71,clear sky
252,Kupino,RU,54.3663,77.2981,31.51,82,2,7.52,clear sky
253,Orel-Izumrud,RU,43.4583,39.9244,57.22,67,100,4.47,overcast clouds
254,Masterton,NZ,-40.9597,175.6575,48.43,97,8,3.33,clear sky
255,Sakakah,SA,29.9697,40.2064,81.97,15,78,12.28,broken clouds
256,Andros Town,BS,24.7,-77.7667,76.96,53,16,14.56,few clouds
257,Maun,BW,-19.9833,23.4167,73.36,100,75,4.61,broken clouds
258,Athabasca,CA,54.7169,-113.2854,28.81,53,100,22.84,overcast clouds
259,Kuusamo,FI,65.9667,29.1833,33.84,64,75,5.75,broken clouds
260,Saint Anthony,US,45.0205,-93.218,57.76,34,0,19.57,clear sky
261,Laguna,US,38.421,-121.4238,66.29,25,0,18.41,clear sky
262,Sovetskiy,RU,61.3614,63.5842,36.52,98,100,9.33,overcast clouds
263,Havre,FR,49.5833,0.3333,55.17,44,20,9.22,few clouds
264,Taltal,CL,-25.4,-70.4833,65.46,68,6,6.89,clear sky
265,Turukhansk,RU,65.8167,87.9833,-7.35,100,83,2.75,broken clouds
266,Hobyo,SO,5.3505,48.5268,82.96,71,3,13.73,clear sky
267,Fort Smith,US,35.3859,-94.3986,78.19,50,0,11.5,clear sky
268,Alofi,NU,-19.0595,-169.9187,75.09,94,25,2.3,scattered clouds
269,Kavaratti,IN,10.5669,72.642,83.97,76,94,10.02,overcast clouds
270,Balkanabat,TM,39.5108,54.3671,61.07,60,100,5.57,overcast clouds
271,Yellowknife,CA,62.456,-114.3525,13.41,74,40,19.57,scattered clouds
272,Achalpur,IN,21.2572,77.5086,91.33,13,9,5.57,clear sky
273,Xichang,CN,27.8964,102.2634,57.88,84,66,0.72,broken clouds
274,Longyearbyen,SJ,78.2186,15.6401,13.84,48,31,28.77,scattered clouds
275,Kapoeta,SS,4.7717,33.5903,89.69,31,72,13.44,broken clouds
276,Havelock,US,34.8791,-76.9013,57.97,42,0,19.57,clear sky
277,Oktyabrskoye,RU,43.0645,44.7417,55.54,58,40,11.18,scattered clouds
278,Havoysund,NO,70.9963,24.6622,39.43,85,35,15.03,scattered clouds
279,Adrar,MR,20.5022,-10.0711,95.38,4,0,5.06,clear sky
280,Sitka,US,57.0531,-135.33,37.29,75,0,0.0,clear sky
281,Abu Kamal,SY,34.4506,40.9171,77.0,19,82,11.27,broken clouds
282,Tuatapere,NZ,-46.1333,167.6833,44.38,90,3,6.58,clear sky
283,Ambilobe,MG,-13.2,49.05,74.89,93,49,2.98,scattered clouds
284,Quatre Cocos,MU,-20.2078,57.7625,77.11,80,51,14.52,light rain
285,Cruz Grande,MX,16.7333,-99.1333,93.27,34,23,9.1,few clouds
286,Mastung,PK,29.7994,66.845,72.37,11,20,3.44,few clouds
287,Kudahuvadhoo,MV,2.6708,72.8944,84.72,68,9,10.22,clear sky
